State,Year,Quarter,Transaction_type,Total_transaction,Transaction_amount
Sikkim,2018,Q2 (Apr - Jun),Merchant payments,2556,4713227
Sikkim,2018,Q2 (Apr - Jun),Financial Services,562,218130
Sikkim,2018,Q2 (Apr - Jun),Others,1788,2243974
Tamil Nadu,2018,Q2 (Apr - Jun),Recharge & bill payments,4464677,1189892955
Tamil Nadu,2018,Q2 (Apr - Jun),Peer-to-peer payments,4433762,18067624388
Tamil Nadu,2018,Q2 (Apr - Jun),Merchant payments,627918,517130320
Tamil Nadu,2018,Q2 (Apr - Jun),Financial Services,167035,65402385
Tamil Nadu,2018,Q2 (Apr - Jun),Others,298736,285794226
Telangana,2018,Q2 (Apr - Jun),Peer-to-peer payments,4784079,20748520742
Telangana,2018,Q2 (Apr - Jun),Recharge & bill payments,4686542,1274130053
Telangana,2018,Q2 (Apr - Jun),Merchant payments,701082,551696487
Telangana,2018,Q2 (Apr - Jun),Financial Services,277805,85498213
Telangana,2018,Q2 (Apr - Jun),Others,315162,357356020
Tripura,2018,Q2 (Apr - Jun),Recharge & bill payments,118171,22554398
Tripura,2018,Q2 (Apr - Jun),Peer-to-peer payments,73821,197666881
Tripura,2018,Q2 (Apr - Jun),Merchant payments,9621,10570951
Tripura,2018,Q2 (Apr - Jun),Financial Services,6925,1264101
Tripura,2018,Q2 (Apr - Jun),Others,6021,4835385
Uttar Pradesh,2018,Q2 (Apr - Jun),Recharge & bill payments,9232131,2044535461
Uttar Pradesh,2018,Q2 (Apr - Jun),Peer-to-peer payments,6484369,22197440015
Uttar Pradesh,2018,Q2 (Apr - Jun),Merchant payments,909545,799920463
Uttar Pradesh,2018,Q2 (Apr - Jun),Financial Services,563213,105536911
Uttar Pradesh,2018,Q2 (Apr - Jun),Others,521685,572768843
Uttarakhand,2018,Q2 (Apr - Jun),Recharge & bill payments,946332,193802092
Uttarakhand,2018,Q2 (Apr - Jun),Peer-to-peer payments,620490,2358941864
Uttarakhand,2018,Q2 (Apr - Jun),Merchant payments,60494,66946005
Uttarakhand,2018,Q2 (Apr - Jun),Financial Services,29919,7913276
Uttarakhand,2018,Q2 (Apr - Jun),Others,46887,52152138
West Bengal,2018,Q2 (Apr - Jun),Peer-to-peer payments,8284944,15889890046
West Bengal,2018,Q2 (Apr - Jun),Recharge & bill payments,7360522,1563841173
West Bengal,2018,Q2 (Apr - Jun),Financial Services,1121570,160809685
West Bengal,2018,Q2 (Apr - Jun),Merchant payments,937608,715914360
West Bengal,2018,Q2 (Apr - Jun),Others,377802,298728202
Andaman & Nicobar,2018,Q3 (Jul - Sep),Recharge & bill payments,8636,4343504
Andaman & Nicobar,2018,Q3 (Jul - Sep),Peer-to-peer payments,6448,49270781
Andaman & Nicobar,2018,Q3 (Jul - Sep),Merchant payments,945,1627359
Andaman & Nicobar,2018,Q3 (Jul - Sep),Financial Services,42,1481
