State,Year,Quarter,Register,App_opened
Karnataka,2020,Q4 (Oct - Dec),22400182,935510690
Kerala,2020,Q4 (Oct - Dec),6387169,91415273
Ladakh,2020,Q4 (Oct - Dec),64853,1232757
Lakshadweep,2020,Q4 (Oct - Dec),4179,41144
Madhya Pradesh,2020,Q4 (Oct - Dec),13737947,405571446
Maharashtra,2020,Q4 (Oct - Dec),34432631,952006770
Manipur,2020,Q4 (Oct - Dec),288772,3783432
Meghalaya,2020,Q4 (Oct - Dec),176447,2745917
Mizoram,2020,Q4 (Oct - Dec),78731,1096182
Nagaland,2020,Q4 (Oct - Dec),192188,2922121
Odisha,2020,Q4 (Oct - Dec),8598751,270085293
Puducherry,2020,Q4 (Oct - Dec),319626,6377136
Punjab,2020,Q4 (Oct - Dec),5157868,71191183
Rajasthan,2020,Q4 (Oct - Dec),16329494,511015109
Sikkim,2020,Q4 (Oct - Dec),148543,2478670
Tamil Nadu,2020,Q4 (Oct - Dec),15357586,288233552
Telangana,2020,Q4 (Oct - Dec),15927797,764614235
Tripura,2020,Q4 (Oct - Dec),409110,6017249
Uttar Pradesh,2020,Q4 (Oct - Dec),27249134,552220798
Uttarakhand,2020,Q4 (Oct - Dec),2596244,52564888
West Bengal,2020,Q4 (Oct - Dec),15662093,291721919
Andaman & Nicobar,2021,Q1 (Jan - Mar),57758,1004336
Andhra Pradesh,2021,Q1 (Jan - Mar),18363733,957709447
Arunachal Pradesh,2021,Q1 (Jan - Mar),251240,4796708
Assam,2021,Q1 (Jan - Mar),3358448,56752364
Bihar,2021,Q1 (Jan - Mar),13946288,355792608
Chandigarh,2021,Q1 (Jan - Mar),419998,7919533
Chhattisgarh,2021,Q1 (Jan - Mar),4514551,124648704
Dadra and Nagar Haveli and Daman and Diu,2021,Q1 (Jan - Mar),321396,7302462
Delhi,2021,Q1 (Jan - Mar),10467210,281201600
Goa,2021,Q1 (Jan - Mar),570035,15467672
Gujarat,2021,Q1 (Jan - Mar),14670126,264732874
Haryana,2021,Q1 (Jan - Mar),9827905,266686683
Himachal Pradesh,2021,Q1 (Jan - Mar),1622951,24228094
Jammu & Kashmir,2021,Q1 (Jan - Mar),1174818,18834009
Jharkhand,2021,Q1 (Jan - Mar),5313049,141731331
Karnataka,2021,Q1 (Jan - Mar),24095832,1084917385
Kerala,2021,Q1 (Jan - Mar),6936943,108918733
Ladakh,2021,Q1 (Jan - Mar),69919,1184204
Lakshadweep,2021,Q1 (Jan - Mar),4577,47283
Madhya Pradesh,2021,Q1 (Jan - Mar),14839427,482500276
Maharashtra,2021,Q1 (Jan - Mar),37077537,1101976484
Manipur,2021,Q1 (Jan - Mar),312668,3709227
